Isolate_Number,jar_no,host_species,Group,capture_day
1_1D31,J1-,Chlorella,1point1D31,D31
1_D3,J1-,Chlorella,1_D3,D3
10_1D3,J2-,Chlorella,10point1D3,D3
10D3,J2-,Chlorella,10D3,D3
10OMO_D31,J2-,Chlorella,S10OMO,D31
10P_D31,J2-,Chlorella,S10P,D31
11_D31,J3-,Chlorella,11_DF,D31
11_D31,J3-,Chlorella,S11,D31
12_1D31,J3-,Chlorella,12point1D31,D31
12_D31,J3-,Chlorella,S12,D31
12D3,J2-,Chlorella,12D3,D3
13_D31,J4-,Chlorella,S13,D31
13D3,J2-,Chlorella,13D3,D3
14D3,J2-,Chlorella,14D3,D3
15_1D31,J4-,Chlorella,15point1D31,D31
15_D31,J4-,Chlorella,S15,D31
15D31,J4-,Chlorella,15D31,D31
16_1D31,J4-,Chlorella,16point1D31,D31
16_2D31,J4-,Chlorella,16point2D31,D31
16_D31,J4-,Chlorella,S16,D31
16D31,J4-,Chlorella,16D31,D31
17_D3,J3-,Chlorella,17_D3,D3
17A_D31,J4-,Chlorella,S17A,D31
17B_D31,J4-,Chlorella,S17B,D31
18_D31,J4-,Chlorella,S18,D31
18D3,J3-,Chlorella,18D3,D3
19AB_D31,J5-,Chlorella,S19AB,D31
2_D3,J1-,Chlorella,2_D3,D3
2_D31,J1-,Chlorella,S2,D31
20_D3,J4-,Chlorella,20_D3,D3
20_D31,J5-,Chlorella,S20,D31
20D31,J5-,Chlorella,20D31,D31
21_1D3,J4-,Chlorella,21point1D3,D3
21_D3,J4-,Chlorella,21_D3,D3
21_D31,J6-,Chlorella,S21,D31
22_D3,J4-,Chlorella,22_D3,D3
22_D31,J6-,Chlorella,S22,D31
23_1D31,J7-,Chlorella,23point1D31,D31
23_D3,J4-,Chlorella,23_D3,D3
23P_D31,J7-,Chlorella,S23P,D31
24_D31,J7-,Chlorella,S24,D31
24D3,J5-,Chlorella,24D3,D3
24D31,J7-,Chlorella,24D31,D31
25_1D31,J7-,Chlorella,25point1D31,D31
25_D3,J5-,Chlorella,25_D3,D3
25_D31,J7-,Chlorella,S25,D31
26_1D3,J5-,Chlorella,26point1D3,D3
26_D3,J5-,Chlorella,26_D3,D3
26_D31,J7-,Chlorella,S26,D31
27_D3,J5-,Chlorella,27_D3,D3
27_D31,J7-,Chlorella,S27,D31
28_D3,J5-,Chlorella,28_D3,D3
28_D31,J7-,Chlorella,S28,D31
29_D3,J5-,Chlorella,29_D3,D3
29_D31,J7-,Chlorella,S29,D31
2D31,J1-,Chlorella,2D31,D31
3_D3,J1-,Chlorella,3_D3,D3
3_D31,J1-,Chlorella,S3,D31
30_D3,J6-,Chlorella,30_D3,D3
30W_D31,J7-,Chlorella,S30W,D31
30Y32A_D31,J7-,Chlorella,S30Y32A,D31
31_D3,J6-,Chlorella,31_D3,D3
31_D31,J8-,Chlorella,S31,D31
31D31,J8-,Chlorella,31D31,D31
32AB_D31,J8-,Chlorella,S32AB,D31
32D3,J6-,Chlorella,32D3,D3
32D31,J8-,Chlorella,32D31,D31
33_D3,J6-,Chlorella,33_D3,D3
33_D31,J8-,Chlorella,S33,D31
33PW_D31,J8-,Chlorella,S33PW,D31
34_1D3,J6-,Chlorella,34point1D3,D3
34_D3,J6-,Chlorella,34_D3,D3
34_D31,J8-,Chlorella,34_DF,D31
34_D31,J8-,Chlorella,S34,D31
34D3,J6-,Chlorella,34D3,D3
35_D3,J7-,Chlorella,35_D3,D3
35D3,J7-,Chlorella,35D3,D3
36_1D3,J7-,Chlorella,36point1D3,D3
36_D3,J7-,Chlorella,36_D3,D3
36D3,J7-,Chlorella,36D3,D3
38_D3,J7-,Chlorella,38_D3,D3
39D3,J7-,Chlorella,39D3,D3
3D31,J1-,Chlorella,3D31,D31
4_1D3,J1-,Chlorella,4point1D3,D3
4_1D31,J3-,Chlorella,4point1D31,D31
4_D3,J1-,Chlorella,4_D3,D3
4_D31,J1-,Chlorella,4_DF,D31
4_D31,J1-,Chlorella,S4,D31
40_D3,J7-,Chlorella,40_D3,D3
40D3,J7-,Chlorella,40D3,D3
42_D3,J8-,Chlorella,42_D3,D3
42D3,J8-,Chlorella,42D3,D3
43_1_D3,J8-,Chlorella,43point1_D3,D3
43_2_D3,J8-,Chlorella,43point2_D3,D3
44_D3,J8-,Chlorella,44_D3,D3
45_D3,J9-,Chlorella,45_D3,D3
46D3,J9-,Chlorella,46D3,D3
5_D3,J1-,Chlorella,5_D3,D3
5_D31,J1-,Chlorella,S5,D31
6_D3,J1-,Chlorella,6_D3,D3
6_D31,J1-,Chlorella,6_DF,D31
6_D31,J1-,Chlorella,S6,D31
7_D3,J1-,Chlorella,7_D3,D3
7_D31,J2-,Chlorella,7_DF,D31
7_D31,J2-,Chlorella,S7,D31
8_1D3,J1-,Chlorella,8point1D3,D3
8_D3,J1-,Chlorella,8_D3,D3
8_D31,J2-,Chlorella,8_DF,D31
8_D31,J2-,Chlorella,S8,D31
9_1D31,J2-,Chlorella,9point1D31,D31
9_2D31,J2-,Chlorella,9point2D31,D31
9D3,J2-,Chlorella,9D3,D3
9D31,J2-,Chlorella,9D31,D31
9RO_D31,J2-,Chlorella,S9RO,D31
9W_D31,J2-,Chlorella,S9W,D31
35D31,J10-,Coelastrum,35D31,D31
37D31,J10-,Coelastrum,37D31,D31
38D31,J10-,Coelastrum,38D31,D31
40_1D31,J11-,Coelastrum,40point1D31,D31
40D31,J11-,Coelastrum,40D31,D31
41D31,J12-,Coelastrum,41D31,D31
42D31,J12-,Coelastrum,42D31,D31
43D31,J12-,Coelastrum,43D31,D31
44D31,J12-,Coelastrum,44D31,D31
45_1D31,J12-,Coelastrum,45point1D31,D31
45_2D31,J12-,Coelastrum,45point2D31,D31
45D31,J12-,Coelastrum,45D31,D31
46_1D31,J13-,Coelastrum,46point1D31,D31
46D31,J13-,Coelastrum,46D31,D31
47_D3,J10-,Coelastrum,47_D3,D3
47_D31,J13-,Coelastrum,47_DF,D31
48D31,J14-,Coelastrum,48D31,D31
49_D3,J10-,Coelastrum,49_D3,D3
49D31,J14-,Coelastrum,49D31,D31
50D31,J15-,Coelastrum,50D31,D31
51D31,J15-,Coelastrum,51D31,D31
52_1D31,J15-,Coelastrum,52point1D31,D31
52_2D31,J15-,Coelastrum,52point2D31,D31
52_D3,J11-,Coelastrum,52_D3,D3
52D31,J15-,Coelastrum,52D31,D31
53D3,J11-,Coelastrum,53D3,D3
53D31,J15-,Coelastrum,53D31,D31
54_1D3,J11-,Coelastrum,54point1D3,D3
54_D3,J11-,Coelastrum,54_D3,D3
54_D31,J16-,Coelastrum,54_DF,D31
55_D31,J16-,Coelastrum,55_DF,D31
56_D31,J16-,Coelastrum,56_DF,D31
56D3,J11-,Coelastrum,56D3,D3
57_1D31,J16-,Coelastrum,57point1D31,D31
57_D31,J16-,Coelastrum,57_DF,D31
57D3,J12-,Coelastrum,57D3,D3
57D31,J16-,Coelastrum,57D31,D31
58_1_D3,J12-,Coelastrum,58point1_D3,D3
58_2_D3,J12-,Coelastrum,58point2_D3,D3
58_2D3,J12-,Coelastrum,58point2D3,D3
58_2D31,J16-,Coelastrum,58point2D31,D31
58_D31,J16-,Coelastrum,58_DF,D31
59_D3,J12-,Coelastrum,59_D3,D3
59_D31,J16-,Coelastrum,59_DF,D31
60_1D31,J17-,Coelastrum,60point1D31,D31
60_D31,J17-,Coelastrum,60_DF,D31
61_D3,J12-,Coelastrum,61_D3,D3
61_D31,J17-,Coelastrum,61_DF,D31
62_1_D31,J18-,Coelastrum,62point1_DF,D31
62_1D3,J12-,Coelastrum,62point1D3,D3
62_D3,J12-,Coelastrum,62_D3,D3
63_D3,J13-,Coelastrum,63_D3,D3
63_D31,J18-,Coelastrum,63_DF,D31
63D3,J13-,Coelastrum,63D3,D3
64D3,J13-,Coelastrum,64D3,D3
65_1D3,J13-,Coelastrum,65point1D3,D3
65D3,J13-,Coelastrum,65D3,D3
66_D3,J13-,Coelastrum,66_D3,D3
66D3,J13-,Coelastrum,66D3,D3
67_D3,J14-,Coelastrum,67_D3,D3
68_D3,J14-,Coelastrum,68_D3,D3
69D3,J14-,Coelastrum,69D3,D3
72_D3,J16-,Coelastrum,72_D3,D3
75_D3,J16-,Coelastrum,75_D3,D3
76D3,J16-,Coelastrum,76D3,D3
77_D3,J17-,Coelastrum,77_D3,D3
77D3,J17-,Coelastrum,77D3,D3
78_D3,J17-,Coelastrum,78_D3,D3
80D3,J17-,Coelastrum,80D3,D3
81D3,J17-,Coelastrum,81D3,D3
82_D3,J17-,Coelastrum,82_D3,D3
83D3,J18-,Coelastrum,83D3,D3
84_D3,J18-,Coelastrum,84_D3,D3
85_D3,J18-,Coelastrum,85_D3,D3
86_D3,J18-,Coelastrum,86_D3,D3
86D3,J18-,Coelastrum,86D3,D3
100D31,J29-,Monoraphidium,100D31,D31
101D31,J30-,Monoraphidium,101D31,D31
102D31,J30-,Monoraphidium,102D31,D31
103_1D31,J30-,Monoraphidium,103point1D31,D31
103D31,J30-,Monoraphidium,103D31,D31
104D31,J30-,Monoraphidium,104D31,D31
106D31,J31-,Monoraphidium,106D31,D31
107D31,J31-,Monoraphidium,107D31,D31
109D31,J33-,Monoraphidium,109D31,D31
110D31,J33-,Monoraphidium,110D31,D31
111_1D31,J33-,Monoraphidium,111point1D31,D31
111_2D31,J33-,Monoraphidium,111point2D31,D31
112_1D31,J33-,Monoraphidium,112point1D31,D31
112_2D31,J33-,Monoraphidium,112point2D31,D31
113_1D31,J33-,Monoraphidium,113point1D31,D31
113_2D31,J33-,Monoraphidium,113point2D31,D31
113_3D31,J34-,Monoraphidium,113point3D31,D31
114D31,J35-,Monoraphidium,114D31,D31
